,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
South Dakota,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,814180,823338,832576,842513,849455,854036,861542,869666
Tennessee,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6346105,6396281,6450632,6490795,6540007,6590726,6649404,6715984
Texas,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25145561,25644424,26078327,26479279,26954436,27454880,27904862,28304596
Utah,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2763885,2815430,2854222,2899961,2938671,2984917,3044321,3101833
Vermont,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625741,626210,625606,626044,625665,624455,623354,623657
Virginia,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8001024,8107548,8188656,8261689,8316902,8366767,8414380,8470020
Washington,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6724540,6819155,6890899,6963410,7046931,7152818,7280934,7405743
West Virginia,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1852994,1854891,1855360,1852333,1847624,1839767,1828637,1815857
Wisconsin,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5686986,5705812,5721075,5736673,5751272,5759744,5772917,5795483
Wyoming,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,563626,567602,576608,582341,583334,586102,584910,579315
