state,year,population,index,violent_crime,property_crime,murder_crime,rape_crime,robbery_crime,assault_crime,burglary_crime,larceny_theft_crime,vehicle_theft_crime
West Virginia,2015,1854908,44506,5497,39009,87,372,802,4236,10245,26656,2108
West Virginia,2014,1856680,50443,5943,44500,70,415,835,4623,11466,30800,2234
West Virginia,2013,1853595,45586,5657,39929,62,367,653,4242,9908,28055,1966
West Virginia,2012,1848751,44132,5850,38282,84,417,655,4517,9368,26954,1960
West Virginia,2011,1841053,45091,6397,38694,85,493,783,4819,9467,26984,2243
West Virginia,2010,1831102,44044,6557,37487,81,468,720,5099,9301,25677,2509
Wisconsin,2016,5691659,156948,14167,142781,155,1191,4516,8305,26636,107993,8152
Wisconsin,2015,5709843,154180,14268,139912,138,1190,4600,8340,27167,104472,8273
Wisconsin,2014,5724554,157034,16254,140780,169,1228,4692,10165,27931,104619,8230
Wisconsin,2013,5742953,141812,16118,125694,163,1308,4834,9285,24358,93946,7390
Wisconsin,2012,5759432,137298,16763,120535,159,1216,5101,9826,21375,89255,9905
Wisconsin,2011,5767891,131720,17549,114171,240,1324,5234,10270,19602,83572,10997
Wisconsin,2010,5778708,129399,17679,111720,229,1458,4706,10765,19425,82337,9958
Wyoming,2016,564554,14986,1117,13869,8,162,77,870,2151,11126,592
Wyoming,2015,567356,14123,1245,12878,18,146,71,1010,1864,10493,521
Wyoming,2014,576626,14383,1161,13222,14,154,61,932,2125,10513,584
Wyoming,2013,583223,14021,1212,12809,17,144,74,917,1956,10275,578
Wyoming,2012,584304,12619,1142,11477,16,127,53,899,1689,9185,603
Wyoming,2011,586555,12451,1300,11151,16,124,59,1054,1762,8797,592
Wyoming,2010,585501,12890,1430,11460,20,150,59,1146,1771,8889,800
