date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2014-01-01,0.06198299723741781,0.0,0.044733155543891796,0.0,0.007751681998718492,0.03743698186047199,0.0,0.1069741817812271,0.0,0.030154167705519624,0.0,0.07053628739304936,0.0,0.0,0.015167183311487534,0.0,0.03448807454114479,0.0,0.08604376573122036,0.0,0.06699892550473222,0.0,0.03025817790295698,0.0,0.06692145896811126,0.0,0.0,0.0,0.0,0.0,0.01118191749757632,0.0,0.020229012652235964,0.020118376527487738,0.0,0.0,0.02580639833517763,0.0,0.0,0.0,0.04145285628833612,0.0,0.0,0.007419928949728349,0.0,0.0,0.04809483146488921,0.0,0.0,0.0,0.0
2014-01-02,0.04132199815827854,0.0,0.0,0.0,0.005167787999145661,0.05615547279070799,0.0,0.0,0.0,0.015077083852759812,0.009916847235926755,0.0,0.0,0.0,0.0455015499344626,0.0,0.0,0.0,0.0,0.0,0.05024919412854916,0.0,0.0,0.0,0.06692145896811126,0.016507059904450533,0.0,0.0,0.0,0.0,0.01118191749757632,0.0,0.0,0.0,0.0,0.008625343622908257,0.0,0.0,0.007818399837815114,0.0,0.0,0.0,0.030581007023386977,0.007419928949728349,0.0,0.0,0.0,0.0,0.10824713253345919,0.0,0.0
2014-01-03,0.0,0.0,0.0,0.0,0.0025838939995728306,0.0,0.0,0.0,0.0,0.010051389235173208,0.0,0.0,0.0,0.015525011647639989,0.0,0.0,0.0,0.0,0.04302188286561018,0.0,0.016749731376183054,0.0,0.04034423720394264,0.018339709744749754,0.06692145896811126,0.0,0.19609169639907012,0.0,0.03531410127377963,0.0,0.0,0.0,0.005057253163058991,0.020118376527487738,0.0,0.008625343622908257,0.02580639833517763,0.050496468655705735,0.01563679967563023,0.0,0.0,0.0,0.0,0.007419928949728349,0.0,0.0,0.0,0.08514344755184916,0.054123566266729595,0.017387457939739243,0.0
2014-01-04,0.02066099907913927,0.0,0.014911051847963933,0.0,0.005167787999145661,0.018718490930235997,0.02777632723624433,0.1069741817812271,0.0,0.030154167705519624,0.009916847235926755,0.0,0.0,0.015525011647639989,0.015167183311487534,0.0,0.03448807454114479,0.02267360327769609,0.02151094143280509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01118191749757632,0.0,0.010114506326117982,0.020118376527487738,0.0,0.017250687245816514,0.0,0.0,0.01563679967563023,0.0,0.0,0.0,0.0,0.018549822374320873,0.0,0.0,0.012023707866222302,0.02838114918394972,0.0,0.0,0.0
2014-01-05,0.02066099907913927,0.0,0.0,0.03372908796546142,0.007751681998718492,0.0,0.0,0.0,0.0,0.030154167705519624,0.0,0.0,0.0,0.007762505823819994,0.015167183311487534,0.0,0.0,0.0,0.02151094143280509,0.0,0.0,0.014797441522360785,0.01008605930098566,0.0,0.0,0.033014119808901066,0.0,0.0,0.0,0.0,0.01118191749757632,0.0,0.010114506326117982,0.020118376527487738,0.0,0.017250687245816514,0.0,0.0,0.03127359935126046,0.0,0.0,0.0,0.0,0.007419928949728349,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-06,0.02066099907913927,0.0,0.0,0.0,0.005167787999145661,0.0,0.0,0.0,0.0,0.015077083852759812,0.0,0.0,0.0,0.0,0.03033436662297507,0.0,0.0,0.02267360327769609,0.04302188286561018,0.0,0.03349946275236611,0.0,0.0,0.05501912923424926,0.0,0.033014119808901066,0.19609169639907012,0.0,0.0,0.07526244012872887,0.01118191749757632,0.0,0.005057253163058991,0.03017756479123161,0.0,0.0,0.0,0.0,0.0,0.0,0.02072642814416806,0.0,0.015290503511693488,0.0,0.0,0.0,0.0,0.0,0.054123566266729595,0.0,0.0
2014-01-07,0.0,0.13572959407350302,0.014911051847963933,0.0,0.0025838939995728306,0.0,0.0,0.0,0.0,0.010051389235173208,0.0,0.0,0.0,0.0,0.03033436662297507,0.0,0.0,0.02267360327769609,0.0,0.0,0.0,0.0,0.01008605930098566,0.0,0.0,0.033014119808901066,0.0,0.10633094443144844,0.0,0.0,0.0,0.048002910896516766,0.005057253163058991,0.010059188263743869,0.0,0.008625343622908257,0.0,0.0,0.01563679967563023,0.0,0.0,0.0,0.0,0.0037099644748641745,0.0,0.0,0.024047415732444604,0.01419057459197486,0.0,0.017387457939739243,0.171428375510428
2014-01-08,0.04132199815827854,0.0,0.0,0.0,0.007751681998718492,0.0,0.0,0.0,0.0,0.0,0.01983369447185351,0.0,0.0,0.015525011647639989,0.0,0.03220028059324509,0.0,0.0,0.0,0.0,0.016749731376183054,0.0,0.0,0.0,0.0,0.016507059904450533,0.0,0.0,0.0,0.0,0.01118191749757632,0.0,0.010114506326117982,0.0,0.13538064977296665,0.017250687245816514,0.02580639833517763,0.0,0.01563679967563023,0.0,0.0,0.0,0.030581007023386977,0.014839857899456698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-09,0.06198299723741781,0.0,0.014911051847963933,0.06745817593092283,0.012919469997864154,0.0,0.0,0.0,0.0,0.010051389235173208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10755470716402545,0.0,0.05024919412854916,0.014797441522360785,0.0,0.018339709744749754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04312671811454129,0.0,0.0,0.007818399837815114,0.0,0.02072642814416806,0.0,0.015290503511693488,0.0,0.0,0.0,0.012023707866222302,0.0,0.0,0.0,0.0
2014-01-10,0.0,0.0,0.0,0.0,0.007751681998718492,0.0,0.0,0.0,0.0,0.005025694617586604,0.009916847235926755,0.0,0.0,0.007762505823819994,0.0,0.0,0.0,0.0,0.0,0.0,0.06699892550473222,0.014797441522360785,0.01008605930098566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010114506326117982,0.0,0.0,0.0,0.0,0.0,0.007818399837815114,0.0,0.04145285628833612,0.0,0.0,0.0037099644748641745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
