,state,latitude,longitude,n_killed,location_description
3121,Arizona,33.3831,-111.964,0,Arizona Mills Mall
3138,Florida,28.5526,-81.4884,0,CVS Pharmacy
3270,Delaware,39.6651,-75.7195,0,7-11
3300,Indiana,40.427,-86.9176,1,Purdue University
3304,Georgia,34.0777,-84.4393,0,Baxter Groceries parking lot
3307,Ohio,41.5244,-81.3401,0,Chase Bank/West Geauga Plaza
3308,Indiana,39.6547,-85.1387,0,Wulff's Gun Shop
3309,Ohio,39.8196,-84.1936,0,Speedway Gas
3311,Alabama,30.6965,-88.044,0,Captain's Table
3316,Georgia,33.7336,-84.2303,1,Affordable Hotel
3317,Vermont,44.1935,-72.5007,0,Medicine Shoppe
3394,District of Columbia,38.9075,-77.0176,1,Stanton Shopping Plaza
3405,Indiana,39.8073,-86.2708,1,International Village Apartments
3410,Illinois,40.0965,-88.1908,0,Circle K
3411,Missouri,38.8294,-90.3121,0,Hazlewood Central HS
3413,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
3414,Florida,26.0828,-81.7256,0,Green Store
3481,Missouri,36.7275,-90.3876,0,American Computer Center
3510,Illinois,40.113,-88.2969,0,Super Pantry
3544,Tennessee,35.1642,-90.0051,0,North Memphis Market
3546,Louisiana,30.5457,-90.4815,1,Roy's Night Club
3547,Texas,31.1322,-97.7682,3,Pershing Park
3551,Mississippi,34.8289,-89.5675,0,Jojos Truck Stop
3663,Georgia,32.5379,-84.9019,1,Super 8
3667,Ohio,41.6158,-83.6745,0,Tim Horton's
3668,South Carolina,33.5034,-80.8535,1,South Carolina State University
3679,Texas,29.3479,-98.441,0,My Bar Louie
3685,Mississippi,34.7715,-89.4449,1,Ida B. Wells-Barnett Museum
3698,Pennsylvania,40.7116,-75.2821,0,Walmart
3720,Mississippi,34.9564,-89.5285,0,Dollar General store
3940,North Carolina,36.0201,-79.805,0,La Fortuna Market
3954,Arkansas,34.5645,-92.5868,0,Home Run Gas Mart
3956,Tennessee,35.8104,-83.9939,0,McGhee Tyson Airport (TYS)
4078,Texas,31.5901,-94.6139,2,Eastwood Terrace Apartments
4093,California,37.786,-122.196,1,Walgreens
4096,New Jersey,40.1097,-74.7772,0,Town Liquor Store
4098,Wisconsin,43.373999999999995,-88.302,0,Addison Station
4101,North Carolina,35.9335,-77.8189,0,Word Tabernacle Church
4105,New York,41.7473,-73.9648,0,Home Dance Club
4107,Massachusetts,42.0118,-71.0518,0,Mansfield Bank
4108,North Carolina,35.3427,-80.1974,0,Olympia Gas Station
4241,Texas,32.8982,-97.0404,0,Dallas/Fort Worth Intl Airport (DFW)
4252,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
4254,Illinois,41.9155,-88.775,1,"Dekalb, Illinois"
4260,Illinois,38.5935,-90.0116,1,Trailway Motel
4266,Tennessee,36.1742,-86.5998,1,Burning Tree Apartments
4270,Massachusetts,42.1376,-71.1475,0,Mobil Gas Station
4272,Indiana,39.7911,-86.1166,2,Citgo
4287,Texas,32.8982,-97.0404,0,Dallas/Ft Worth Intl Airport (DFW)
